name,zone_id,x_coord,y_coord,geometry
,1897,-122.3623529,37.9409897,POINT (-122.36235294 37.94098981)
,1898,-122.3629918,37.9337791,POINT (-122.3629918 37.93377895)
,1900,-122.3087345,37.9274762,POINT (-122.30873448 37.92747622)
,1911,-122.3022233,37.9089645,POINT (-122.30222335 37.90896449)
,1912,-122.2980729,37.9021831,POINT (-122.29807287 37.90218312)
,1913,-122.3052141,37.9010521,POINT (-122.30521416 37.90105215)
,1915,-122.2911565,37.904474,POINT (-122.29115653 37.90447412)
,1919,-122.0203707,37.9691106,POINT (-122.02037102 37.96911053)
,1920,-122.0346276,37.9667898,POINT (-122.03462767 37.96678989)
,1923,-121.8935623,38.0214223,POINT (-121.89356248 38.0214221)
