o_zone_id,d_zone_id,distance,node_sequence,link_sequence
1000026,1000015,35712.72,1000026;1500346;1500335;1000003;1500007;1500001;1500073;1500029;1500041;1500055;1500017;1500004;1500010;1500032;1500014;1500026;1000015,1001052;1000321;1001031;1000374;1000012;1000013;1000014;1000015;1000016;1000017;1000018;1000019;1000020;1000021;1000022;1000413
1000026,1000016,6852.09,1000026;1500224;1500197;1500207;1000016,1000808;1000190;1000191;1000775
1000026,1000017,14704.82,1000026;1500224;1500197;1500207;1500228;1500231;1000037;1500374;1500367;1000017,1000808;1000190;1000191;1000192;1000193;1000823;1001108;1000361;1001095
1000026,1000018,42262.30,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1000008;1500097;1500098;1500110;1500102;1000018,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000979;1000554;1000104;1000105;1000106;1000565
1000026,1000019,17704.53,1000026;1500346;1500335;1000003;1500007;1500001;1500073;1500029;1000019,1001052;1000321;1001031;1000374;1000012;1000013;1000014;1000419
1000026,1000020,43263.61,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1000008;1500249;1500256;1500264;1500265;1500254;1000020,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000979;1000858;1000246;1000247;1000248;1000249;1000869
1000026,1000021,13554.86,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1500255;1000021,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000242;1000871
1000026,1000022,29710.66,1000026;1500346;1500335;1000003;1500007;1500001;1500073;1500029;1500041;1500055;1500017;1500004;1500010;1500032;1000022,1001052;1000321;1001031;1000374;1000012;1000013;1000014;1000015;1000016;1000017;1000018;1000019;1000020;1000425
1000026,1000023,29260.37,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1000008;1500249;1500256;1000023,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000979;1000858;1000246;1000873
1000026,1000024,13853.04,1000026;1500151;1500174;1500160;1500148;1000024,1000662;1000124;1000125;1000126;1000657
1000026,1000025,9553.81,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1000025,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000875
1000026,1000027,55867.68,1000026;1500346;1500335;1500333;1500356;1500344;1500348;1500351;1500339;1500334;1500336;1500345;1500338;1500341;1500340;1500355;1500353;1500354;1500347;1000027,1001052;1000321;1000322;1000323;1000324;1000325;1000326;1000327;1000328;1000329;1000330;1000331;1000332;1000333;1000334;1000335;1000336;1000338;1001055
1000026,1000028,58265.94,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1000008;1500249;1500256;1500264;1500265;1500254;1500266;1500259;1000028,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000979;1000858;1000246;1000247;1000248;1000249;1000250;1000251;1000879
1000026,1000029,18705.54,1000026;1500346;1500335;1000003;1500007;1500001;1500073;1500029;1500041;1000029,1001052;1000321;1001031;1000374;1000012;1000013;1000014;1000015;1000443
1000026,1000030,8853.08,1000026;1500224;1500197;1500207;1500228;1000030,1000808;1000190;1000191;1000192;1000817
1000026,1000031,29706.33,1000026;1500151;1500174;1500160;1500148;1500183;1500165;1500136;1000014;1500137;1500158;1000031,1000662;1000124;1000125;1000126;1000127;1000128;1000129;1000633;1000634;1000154;1000677
1000026,1000032,25407.51,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1500255;1500251;1000013;1500189;1500190;1000032,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000242;1000243;1000863;1000738;1000180;1000741
1000026,1000033,8852.07,1000026;1500151;1500174;1500160;1000033,1000662;1000124;1000125;1000681
1000026,1000034,49708.30,1000026;1500151;1500174;1500160;1500148;1500183;1500165;1500136;1000014;1500137;1500158;1500169;1500163;1000034,1000662;1000124;1000125;1000126;1000127;1000128;1000129;1000633;1000634;1000154;1000155;1000156;1000687
1000026,1000035,20704.80,1000026;1500151;1500174;1500160;1500148;1500183;1000048;1500184;1500166;1000035,1000662;1000124;1000125;1000126;1000127;1000727;1000728;1000152;1000693
1000026,1000036,35707.29,1000026;1500151;1500174;1500160;1500148;1500183;1500165;1500136;1000014;1500137;1500158;1500169;1000036,1000662;1000124;1000125;1000126;1000127;1000128;1000129;1000633;1000634;1000154;1000155;1000699
1000026,1000037,11854.02,1000026;1500224;1500197;1500207;1500228;1500231;1000037,1000808;1000190;1000191;1000192;1000193;1000823
1000026,1000038,20706.55,1000026;1500346;1500335;1000003;1500007;1500001;1500073;1500029;1500041;1500055;1000038,1001052;1000321;1001031;1000374;1000012;1000013;1000014;1000015;1000016;1000471
1000026,1000039,19705.79,1000026;1500224;1500197;1500207;1500228;1500231;1000037;1500374;1500367;1500376;1000039,1000808;1000190;1000191;1000192;1000193;1000823;1001108;1000361;1000362;1001113
1000026,1000040,3851.14,1000026;1500151;1500174;1000040,1000662;1000124;1000709
1000026,1000041,21407.30,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1000025;1500106;1500104;1500100;1500109;1000041,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000875;1000572;1000100;1000101;1000102;1000579
1000026,1000042,46715.87,1000026;1500346;1500335;1000003;1500007;1500001;1500073;1500029;1500041;1500055;1500017;1500004;1500010;1500032;1500014;1500026;1500020;1500067;1500061;1000042,1001052;1000321;1001031;1000374;1000012;1000013;1000014;1000015;1000016;1000017;1000018;1000019;1000020;1000021;1000022;1000023;1000024;1000025;1000483
1000026,1000043,51716.92,1000026;1500346;1500335;1000003;1500007;1500001;1500073;1500029;1500041;1500055;1500017;1500004;1500010;1500032;1500014;1500026;1500020;1500067;1500061;1500064;1000043,1001052;1000321;1001031;1000374;1000012;1000013;1000014;1000015;1000016;1000017;1000018;1000019;1000020;1000021;1000022;1000023;1000024;1000025;1000026;1000489
1000026,1000044,33261.44,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1000008;1500249;1500256;1500264;1000044,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000979;1000858;1000246;1000247;1000889
1000026,1000045,43714.81,1000026;1500346;1500335;1000003;1500007;1500001;1500073;1500029;1500041;1500055;1500017;1500004;1500010;1500032;1500014;1500026;1500020;1500067;1000045,1001052;1000321;1001031;1000374;1000012;1000013;1000014;1000015;1000016;1000017;1000018;1000019;1000020;1000021;1000022;1000023;1000024;1000495
1000026,1000046,38262.54,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1000008;1500249;1500256;1500264;1500265;1000046,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000979;1000858;1000246;1000247;1000248;1000891
1000026,1000047,49264.74,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1000008;1500249;1500256;1500264;1500265;1500254;1500266;1000047,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000979;1000858;1000246;1000247;1000248;1000249;1000250;1000893
1000026,1000048,17854.01,1000026;1500151;1500174;1500160;1500148;1500183;1000048,1000662;1000124;1000125;1000126;1000127;1000727
1000026,1000049,39261.30,1000026;1500346;1500335;1000003;1500007;1500001;1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1000008;1500097;1500098;1500110;1000049,1001052;1000321;1001031;1000374;1000012;1000363;1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000979;1000554;1000104;1000105;1000581
1000026,1000050,10703.50,1000026;1500346;1500335;1000003;1500007;1500001;1500073;1000050,1001052;1000321;1001031;1000374;1000012;1000013;1000507
1000027,1000001,47566.86,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1500114;1000001,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000121;1000589
1000027,1000002,29561.15,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1000022;1500105;1500095;1500094;1000002,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000999;1000570;1000092;1000093;1000549
1000027,1000003,49418.13,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500380;1500357;1500359;1000003,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1001120;1000354;1000355;1001079
1000027,1000004,27560.18,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1000022;1500105;1500095;1000004,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000999;1000570;1000092;1000551
1000027,1000005,110427.97,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1500114;1500120;1500151;1500174;1500160;1500148;1500183;1500165;1500136;1000014;1500137;1500158;1500169;1500163;1500126;1000005,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000121;1000122;1000123;1000124;1000125;1000126;1000127;1000128;1000129;1000633;1000634;1000154;1000155;1000156;1000157;1000613
1000027,1000006,57420.03,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500380;1500357;1500359;1500370;1500361;1000006,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1001120;1000354;1000355;1000356;1000357;1001083
1000027,1000007,22707.64,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500101;1500096;1000007,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000562;1000090;1000553
1000027,1000008,64720.70,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1500325;1500324;1500315;1500332;1500321;1500318;1500313;1500326;1500309;1000008,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000299;1000300;1000301;1000302;1000303;1000304;1000305;1000306;1000307;1000979
1000027,1000009,102728.42,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1500325;1500324;1500315;1500332;1500321;1500318;1500313;1500326;1500309;1500320;1500327;1500329;1500317;1500331;1500323;1500311;1000009,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000299;1000300;1000301;1000302;1000303;1000304;1000305;1000306;1000307;1000308;1000309;1000310;1000311;1000312;1000313;1000314;1000983
1000027,1000010,70422.39,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500111;1500106;1500104;1500100;1500109;1500097;1500098;1000010,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1000582;1000099;1000100;1000101;1000102;1000103;1000104;1000557
1000027,1000011,31711.51,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985
1000027,1000012,15855.00,1000027;1500371;1500378;1500377;1500379;1500364;1000012,1001102;1000339;1000341;1000342;1000343;1001089
1000027,1000013,57419.25,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500111;1500106;1500104;1500100;1000013,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1000582;1000099;1000100;1000101;1000561
1000027,1000014,78574.48,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1500114;1500120;1500151;1500174;1500160;1500148;1500183;1500165;1500136;1000014,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000121;1000122;1000123;1000124;1000125;1000126;1000127;1000128;1000129;1000633
1000027,1000015,18855.95,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015,1001102;1000339;1000341;1000342;1000343;1000344;1001091
1000027,1000016,59421.00,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500380;1500357;1500359;1500370;1500361;1500366;1000016,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1001120;1000354;1000355;1000356;1000357;1000358;1001093
1000027,1000017,67273.73,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1500114;1000001;1500191;1500194;1500224;1500197;1500207;1500228;1500231;1000037;1500374;1500367;1000017,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000121;1000589;1000742;1000188;1000189;1000190;1000191;1000192;1000193;1000823;1001108;1000361;1001095
1000027,1000018,82424.37,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500111;1500106;1500104;1500100;1500109;1500097;1500098;1500110;1500102;1000018,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1000582;1000099;1000100;1000101;1000102;1000103;1000104;1000105;1000106;1000565
1000027,1000019,36564.88,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1000019,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000645
1000027,1000020,83575.77,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1500325;1500324;1500315;1500332;1500321;1500318;1500313;1500326;1500309;1000008;1500249;1500256;1500264;1500265;1500254;1000020,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000299;1000300;1000301;1000302;1000303;1000304;1000305;1000306;1000307;1000979;1000858;1000246;1000247;1000248;1000249;1000869
1000027,1000021,53717.52,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1500325;1500324;1500315;1500332;1500321;1500318;1000021,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000299;1000300;1000301;1000302;1000303;1000304;1000997
1000027,1000022,24708.62,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1000022,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000999
1000027,1000023,69572.52,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1500325;1500324;1500315;1500332;1500321;1500318;1500313;1500326;1500309;1000008;1500249;1500256;1000023,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000299;1000300;1000301;1000302;1000303;1000304;1000305;1000306;1000307;1000979;1000858;1000246;1000873
1000027,1000024,66421.94,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500187;1500115;1500121;1500152;1500175;1500161;1500149;1000024,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1000734;1000145;1000146;1000147;1000148;1000149;1000150;1000659
1000027,1000025,49716.47,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1500325;1500324;1500315;1500332;1500321;1000025,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000299;1000300;1000301;1000302;1000303;1001003
1000027,1000026,53419.09,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500380;1500357;1500359;1500370;1000026,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1001120;1000354;1000355;1000356;1001101
1000027,1000028,98578.09,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1500325;1500324;1500315;1500332;1500321;1500318;1500313;1500326;1500309;1000008;1500249;1500256;1500264;1500265;1500254;1500266;1500259;1000028,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000299;1000300;1000301;1000302;1000303;1000304;1000305;1000306;1000307;1000979;1000858;1000246;1000247;1000248;1000249;1000250;1000251;1000879
1000027,1000029,35414.26,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500099;1500108;1000038;1500375;1500372;1000029,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000558;1000095;1000577;1001110;1000351;1001105
1000027,1000030,61421.99,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500380;1500357;1500359;1500370;1500361;1500366;1500373;1000030,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1001120;1000354;1000355;1000356;1000357;1000358;1000359;1001107
1000027,1000031,82424.95,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1500114;1500120;1500151;1500174;1500160;1500148;1500183;1500165;1500136;1000014;1500137;1500158;1000031,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000121;1000122;1000123;1000124;1000125;1000126;1000127;1000128;1000129;1000633;1000634;1000154;1000677
1000027,1000032,66270.85,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500111;1500106;1500104;1500100;1000013;1500189;1500190;1000032,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1000582;1000099;1000100;1000101;1000561;1000738;1000180;1000741
1000027,1000033,61420.98,1000027;1500371;1500378;1500377;1500379;1500364;1500365;1000015;1500314;1500308;1500319;1500307;1500306;1500312;1000011;1500131;1500171;1500154;1500142;1500186;1000050;1500187;1500115;1500121;1500152;1500175;1500161;1000033,1001102;1000339;1000341;1000342;1000343;1000344;1001091;1000988;1000294;1000295;1000296;1000297;1000298;1000985;1000622;1000117;1000118;1000119;1000120;1000733;1000734;1000145;1000146;1000147;1000148;1000149;1000683
